Abbey (Burghal)	Renfrew	1855	1878	Old RD	559	1	646	
Abbey (Landward)	Renfrew	1855	1878	Old RD	559	2	644	
Abbey (Paisley)	Renfrew	1670	1854	OPR	559			
Abbey St.Bathans	Berwick	1715	1854	OPR	726			
Abbey St.Bathans	Berwick	1855	1966	Old RD	726		785	
Abbotrule (Southdean and Abbotrule)	Roxburgh	1696	1854	OPR	806			
Abbotshall	Fife	1650	1854	OPR	399			
Abbotshall (Landward)	Fife	1855	1874	Old RD	399		421	
Abdie	Fife	1620	1854	OPR	400			
Abdie	Fife	1855	1931					
Aberchirder	Banff	1968	1971	Old RD	146		294	
Aberchirder	Banff	1972	2000	Old RD	294		293	
Abercorn	Linlithgow (West Lothian)	1585	1854	OPR	661			
Abercorn	West Lothian	1855	1969	Old RD	661		701	
Abercrombie or St.Monance	Fife	1628	1854	OPR	454			
Aberdalgie	Perth	1613	1854	OPR	323			
Aberdalgie	Perth	1855	1954	Old RD	323		390	
Aberdeen	Aberdeen	1560	1854	OPR	168	a		
Aberdeen, Eastern District	Aberdeen	1931	1967	Old RD	168	3	300	
Aberdeen, Northern District	Aberdeen	1931	1967	Old RD	168	1	300	
Aberdeen, Old Machar Parish	Aberdeen	1886	1897	Old RD	168	2	300	
Aberdeen, Southern District	Aberdeen	1931	1967	Old RD	168	2	300	
Aberdeen	Aberdeen	1968	1971	Old RD	168			
Aberdeen	Aberdeen City	1972	2006	Old RD	300		300	
Aberdeen	Aberdeen City	2007					300	
Aberdeenshire	Aberdeenshire	2005					295	
Aberdour	Fife	1650	1854	OPR	401			
Aberdour	Aberdeen	1698	1854	OPR	169			
Aberdour	Fife	1855	1967	Old RD	401		436	
Aberdour	Fife	1968	1971	Old RD	401		436	
Aberdour	Fife	1972	1993	Old RD	434		436	
Aberfeldy	Perth	1855	1955	Old RD	324		385	
Aberfeldy (see Dull 364 & Logierait 376)	Perth			OPR	324			
Aberfeldy and Dull	Perth	1956	1961	Old RD	324		385	
Aberfeldy, Dull and Weem	Perth	1962	1971	Old RD	324		385	
Aberfeldy, Dull and Weem	Perth	1972	2003	Old RD	385		385	
Perth and Kinross	Perth and Kinross	2004					385	
Aberfoyle	Perth	1692	1854	OPR	325			
Aberfoyle	Perth	1855	1953	Old RD	325		397	
Aberfoyle and Menteith	Perth	1954	1971	Old RD	325		397	
Aberfoyle and Menteith	Perth	1972	2003	Old RD	397		397	
Stirling	Stirling	2004	2006	Old RD	397		397	
Stirling, Aberfoyle	Stirling	2007					397	
Aberlady	Haddington (East Lothian)	1632	1854	OPR	702			
Aberlady	East Lothian	1855	1967	Old RD	702		721	
Aberlemno	Forfar	1706	1854	OPR	269			
Aberlemno	Angus	1855	1968	Old RD	269		364	
Aberlour	Banff	1708	1854	OPR	145			
Aberlour	Aberdeen	1855	1967	Old RD	169		310	
Aberlour	Banff	1855	1971	Old RD	145		296	
Aberlour	Banff / Moray	1972	2002	Old RD	296		295	
Keith and Upper Speyside	Moray	2003					295	
Abernethy	Perth	1690	1854	OPR	326			
Abernethy	Perth	1855	1968	Old RD	326		390	
Abernethy and Kincardine	Inverness	1730	1854	OPR	90	a		
Abernethy and Kincardine	Moray	1855	1869	Old RD	124		232	
Abernethy and Kincardine	Inverness	1870	1970	Old RD	90	a	232	
Abernyte	Perth	1664	1854	OPR	327			
Abernyte	Perth	1855	1965	Old RD	327		392	
Abernyte and Inchture	Perth	1966	1968	Old RD	359		392	
Abertarff and Boleskine (Fort Augustus)	Inverness	1739	1854	OPR	92			
Abertarff or Fort Augustus	Inverness	1855	1891	Old RD	92	2	235	
Aboyne	Aberdeen	1752	1854	OPR	170			
Aboyne	Aberdeen	1855	1971	Old RD	170		330	
Aboyne	Aberdeen	1972	2001	Old RD	330		330	
Aboyne and Torphins	Aberdeenshire	2002	2004	Old RD	330		330	
Aberdeenshire	Aberdeenshire	2005	2006	Old RD	330		330	
Aberdeenshire, Aboyne	Aberdeenshire	2007		Old RD	330		330	
Acharacle	Argyll	1777	1854	OPR	505			
Acharacle	Argyll	1855	1969	Old RD	505	1	521	
Advie (Cromdale, Inverallan and Advie)	Elgin	1702	1854	OPR	128	b		
Airdrie	Lanark	1855	1894	Old RD	651	1	564	
Airdrie	Lanark	1968	1971	Old RD	564		564	
